[ 2012-09-16T11:55:27+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ app_begin ] --START--
[ 2012-09-16T11:55:27+08:00 ] /index++.php/Notice/index | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000612s ]
[ 2012-09-16T11:55:27+08:00 ] /index++.php/Notice/index | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000449s ]
[ 2012-09-16T11:55:27+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.001199s ]
[ 2012-09-16T11:55:27+08:00 ] /index++.php/Notice/index | SQL: SHOW COLUMNS FROM `notice` [ RunTime:0.000498s ]
[ 2012-09-16T11:55:27+08:00 ] /index++.php/Notice/index | SQL: SELECT * FROM `notice`  [ RunTime:0.000234s ]
[ 2012-09-16T11:55:27+08:00 ] /index++.php/Notice/index | SQL: SELECT * FROM `notice` WHERE type = 1 ORDER BY create_time LIMIT 10   [ RunTime:0.000214s ]
[ 2012-09-16T11:55:27+08:00 ] /index++.php/Notice/index | SQL: SELECT * FROM `notice` WHERE type = 2 ORDER BY create_time LIMIT 10   [ RunTime:0.000192s ]
[ 2012-09-16T11:55:27+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_template ] --START--
[ 2012-09-16T11:55:27+08:00 ] /index++.php/Notice/index | DEBUG: Run LocationTemplate Behavior [ RunTime:0.000406s ]
[ 2012-09-16T11:55:27+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.000497s ]
[ 2012-09-16T11:55:27+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_parse ] --START--
[ 2012-09-16T11:55:27+08:00 ] /index++.php/Notice/index | DEBUG: Run ParseTemplate Behavior [ RunTime:0.001061s ]
[ 2012-09-16T11:55:27+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.001151s ]
[ 2012-09-16T11:55:27+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_filter ] --START--
[ 2012-09-16T11:55:27+08:00 ] /index++.php/Notice/index | DEBUG: Run ContentReplace Behavior [ RunTime:0.000445s ]
[ 2012-09-16T11:55:27+08:00 ] /index++.php/Notice/index | DEBUG: Run TokenBuild Behavior [ RunTime:0.000488s ]
[ 2012-09-16T11:55:27+08:00 ] /index++.php/Notice/index | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.000195s ]
[ 2012-09-16T11:55:27+08:00 ] /index++.php/Notice/index | DEBUG: Run ShowRuntime Behavior [ RunTime:0.000497s ]
[ 2012-09-16T11:55:27+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.001863s ]
[ 2012-09-16T11:55:27+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_end ] --START--
[ 2012-09-16T11:55:27+08:00 ] /index++.php/Notice/index | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.000468s ]
[ 2012-09-16T11:55:27+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.000553s ]
[ 2012-09-16T11:55:40+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ route_check ] --START--
[ 2012-09-16T11:55:40+08:00 ] /index++.php/Notice/index | DEBUG: Run CheckRoute Behavior [ RunTime:0.000942s ]
[ 2012-09-16T11:55:40+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.001086s ]
[ 2012-09-16T11:55:40+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ app_begin ] --START--
[ 2012-09-16T11:55:40+08:00 ] /index++.php/Notice/index | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000296s ]
[ 2012-09-16T11:55:40+08:00 ] /index++.php/Notice/index | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000188s ]
[ 2012-09-16T11:55:40+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000548s ]
[ 2012-09-16T11:55:40+08:00 ] /index++.php/Notice/index | SQL: SHOW COLUMNS FROM `notice` [ RunTime:0.000874s ]
[ 2012-09-16T11:55:40+08:00 ] /index++.php/Notice/index | SQL: SELECT * FROM `notice`  [ RunTime:0.000215s ]
[ 2012-09-16T11:55:40+08:00 ] /index++.php/Notice/index | SQL: SELECT * FROM `notice` WHERE type = 1 ORDER BY create_time LIMIT 10   [ RunTime:0.000239s ]
[ 2012-09-16T11:55:40+08:00 ] /index++.php/Notice/index | SQL: SELECT * FROM `notice` WHERE type = 2 ORDER BY create_time LIMIT 10   [ RunTime:0.000181s ]
[ 2012-09-16T11:55:40+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_template ] --START--
[ 2012-09-16T11:55:40+08:00 ] /index++.php/Notice/index | DEBUG: Run LocationTemplate Behavior [ RunTime:0.000435s ]
[ 2012-09-16T11:55:40+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.000527s ]
[ 2012-09-16T11:55:40+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_parse ] --START--
[ 2012-09-16T11:55:40+08:00 ] /index++.php/Notice/index | DEBUG: Run ParseTemplate Behavior [ RunTime:0.001017s ]
[ 2012-09-16T11:55:40+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.001106s ]
[ 2012-09-16T11:55:40+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_filter ] --START--
[ 2012-09-16T11:55:40+08:00 ] /index++.php/Notice/index | DEBUG: Run ContentReplace Behavior [ RunTime:0.000416s ]
[ 2012-09-16T11:55:40+08:00 ] /index++.php/Notice/index | DEBUG: Run TokenBuild Behavior [ RunTime:0.000459s ]
[ 2012-09-16T11:55:40+08:00 ] /index++.php/Notice/index | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.000184s ]
[ 2012-09-16T11:55:40+08:00 ] /index++.php/Notice/index | DEBUG: Run ShowRuntime Behavior [ RunTime:0.000227s ]
[ 2012-09-16T11:55:40+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.001441s ]
[ 2012-09-16T11:55:40+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_end ] --START--
[ 2012-09-16T11:55:40+08:00 ] /index++.php/Notice/index | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.000459s ]
[ 2012-09-16T11:55:40+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.000527s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ route_check ] --START--
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Run CheckRoute Behavior [ RunTime:0.001201s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.001417s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ app_begin ] --START--
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000276s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000204s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000546s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | SQL: SHOW COLUMNS FROM `notice` [ RunTime:0.000519s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | SQL: SELECT * FROM `notice`  [ RunTime:0.000191s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | SQL: SELECT * FROM `notice` WHERE type = 1 ORDER BY create_time LIMIT 10   [ RunTime:0.000345s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | SQL: SELECT * FROM `notice` WHERE type = 2 ORDER BY create_time LIMIT 10   [ RunTime:0.000228s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_template ] --START--
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Run LocationTemplate Behavior [ RunTime:0.000435s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.000528s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_parse ] --START--
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Run ParseTemplate Behavior [ RunTime:0.001003s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.001094s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_filter ] --START--
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Run ContentReplace Behavior [ RunTime:0.000452s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Run TokenBuild Behavior [ RunTime:0.000494s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.000196s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Run ShowRuntime Behavior [ RunTime:0.000504s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.001885s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_end ] --START--
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.000467s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.000552s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ route_check ] --START--
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Run CheckRoute Behavior [ RunTime:0.000426s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.000516s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ app_begin ] --START--
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000249s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000213s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000524s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | SQL: SHOW COLUMNS FROM `notice` [ RunTime:0.000826s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | SQL: SELECT * FROM `notice`  [ RunTime:0.000143s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | SQL: SELECT * FROM `notice` WHERE type = 1 ORDER BY create_time LIMIT 10   [ RunTime:0.000090s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | SQL: SELECT * FROM `notice` WHERE type = 2 ORDER BY create_time LIMIT 10   [ RunTime:0.000076s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_template ] --START--
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Run LocationTemplate Behavior [ RunTime:0.000186s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.000230s ]
